State,Honey producing colonies (thousand),Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15  (1,000 pounds) ",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
Alabama,7,47,329,13,3.83,1260,2015
Arizona,26,49,1274,306,2.17,2765,2015
Arkansas,24,72,1728,121,2.02,3491,2015
California,275,30,8250,1485,2.04,16830,2015
Colorado,29,51,1479,399,2.18,3224,2015
Florida,220,54,11880,832,1.97,23404,2015
Georgia,69,40,2760,221,2.42,6679,2015
Hawaii,14,102,1428,71,1.95,2785,2015
Idaho,89,32,2848,1082,1.92,5468,2015
Illinois,8,51,408,155,4.32,1763,2015
Indiana,6,53,318,165,3.38,1075,2015
Iowa,36,50,1800,990,2.33,4194,2015
Kansas,8,36,288,107,3.52,1014,2015
Kentucky,5,46,230,55,3.86,888,2015
Louisiana,44,99,4356,348,1.93,8407,2015
Maine,10,47,470,47,5.51,2590,2015
Michigan,90,58,5220,1984,2.43,12685,2015
Minnesota,122,68,8296,2157,1.83,15182,2015
Mississippi,15,83,1245,87,2.64,3287,2015
Missouri,10,52,520,52,3.5,1820,2015
Montana,146,83,12118,3757,1.94,23509,2015
Nebraska,57,48,2736,1450,2.02,5527,2015
New Jersey,12,27,324,207,4.2,1361,2015
New York,58,62,3596,899,2.94,10572,2015
North Carolina,12,45,540,103,4.52,2441,2015
North Dakota,490,74,36260,9428,1.8,65268,2015
Ohio,17,50,850,357,4.08,3468,2015
Oregon,71,38,2698,809,2.52,6799,2015
Pennsylvania,17,53,901,225,3.63,3271,2015
South Carolina,14,67,938,38,4.09,3836,2015
South Dakota,290,66,19140,9379,1.79,34261,2015
Tennessee,7,59,413,78,4.07,1681,2015
Texas,126,66,8316,1164,2.09,17380,2015
Utah,27,42,1134,147,1.93,2189,2015
Vermont,5,52,260,62,4.23,1100,2015
Virginia,6,38,228,50,5.67,1293,2015
Washington,73,44,3212,1221,1.64,5268,2015
West Virginia,5,35,175,32,4.44,777,2015
Wisconsin,52,67,3484,1603,2.41,8396,2015
Wyoming,38,77,2926,146,1.9,5559,2015
Other,30,39,1168,371,5.03,5875,2015
United States,2660,58.9,156544,42203,2.09,327177,2015
Alabama,7,52,364,33,3.37,1227,2016
Arizona,27,46,1242,261,1.99,2472,2016
Arkansas,24,69,1656,99,1.84,3047,2016
California,310,36,11160,2009,2,22320,2016
Colorado,32,40,1280,282,2.17,2778,2016
Florida,215,50,10750,538,2.44,26230,2016
Georgia,96,39,3744,899,2.69,10071,2016
Hawaii,16,113,1808,127,2.31,4176,2016
Idaho,97,34,3298,1253,1.72,5673,2016
Illinois,10,48,480,77,5.39,2587,2016
Indiana,7,62,434,208,3.36,1458,2016
Iowa,37,48,1776,746,2.07,3676,2016
Kansas,7,48,336,54,2.97,998,2016
Kentucky,5,46,230,48,4.02,925,2016
Louisiana,50,86,4300,301,1.93,8299,2016
Maine,12,34,408,65,3.21,1310,2016
Michigan,89,60,5340,1709,2.25,12015,2016
Minnesota,124,59,7316,1390,1.64,11998,2016
Mississippi,19,85,1615,113,1.74,2810,2016
Missouri,8,62,496,30,2.18,1081,2016
Montana,159,77,12243,3183,1.75,21425,2016
Nebraska,48,46,2208,640,1.88,4151,2016
New Jersey,12,27,324,198,6.69,2168,2016
New York,64,57,3648,1167,3.2,11674,2016
North Carolina,12,37,444,89,4.61,2047,2016
North Dakota,485,78,37830,6809,1.73,65446,2016
Ohio,15,79,1185,664,3.84,4550,2016
Oregon,74,35,2590,622,2.06,5335,2016
Pennsylvania,19,50,950,266,3.15,2993,2016
South Carolina,16,45,720,36,4.5,3240,2016
South Dakota,280,71,19880,12127,1.74,34591,2016
Tennessee,6,55,330,69,4.78,1577,2016
Texas,133,70,9310,2607,1.96,18248,2016
Utah,31,32,992,169,1.91,1895,2016
Vermont,6,52,312,69,2.82,880,2016
Virginia,5,38,190,30,5.82,1106,2016
Washington,84,35,2940,412,1.88,5527,2016
West Virginia,5,32,160,43,3.73,597,2016
Wisconsin,54,62,3348,1205,2.44,8169,2016
Wyoming,40,68,2720,190,1.76,4787,2016
Other,35,44,1525,416,4.26,6497,2016
United States,2775,58.3,161882,41253,2.075,335905,2016
Alabama,7,45,315,22,2.77,873,2017
Arizona,22,40,880,97,1.96,1725,2017
Arkansas,29,77,2233,223,1.91,4265,2017
California,335,41,13735,2198,2.09,28706,2017
Colorado,33,43,1419,284,2.06,2923,2017
Florida,205,43,8815,529,2.4,21156,2017
Georgia,99,32,3168,190,2.96,9377,2017
Hawaii,12,131,1572,16,1.51,2374,2017
Idaho,95,44,4180,1045,1.79,7482,2017
Illinois,11,46,506,167,4.76,2409,2017
Indiana,7,48,336,128,3.94,1324,2017
Iowa,35,58,2030,1035,2.22,4507,2017
Kansas,7,79,553,260,4.18,2312,2017
Kentucky,5,38,190,42,4.08,775,2017
Louisiana,43,81,3483,279,1.88,6548,2017
Maine,12,33,396,51,5.45,2158,2017
Michigan,87,45,3915,822,2.41,9435,2017
Minnesota,126,62,7812,1016,1.86,14530,2017
Mississippi,13,80,1040,83,1.81,1882,2017
Missouri,8,65,520,57,3.53,1836,2017
Montana,145,72,10440,2506,2.3,24012,2017
Nebraska,42,63,2646,423,1.99,5266,2017
New Jersey,13,28,364,167,7.86,2861,2017
New York,57,56,3192,766,3.01,9608,2017
North Carolina,11,41,451,99,4.34,1957,2017
North Dakota,455,74,33670,4377,1.89,63636,2017
Ohio,15,73,1095,657,3.12,3416,2017
Oregon,78,40,3120,998,1.89,5897,2017
Pennsylvania,16,46,736,177,3.4,2502,2017
South Carolina,16,34,544,27,3.06,1665,2017
South Dakota,255,57,14535,6541,1.91,27762,2017
Tennessee,7,41,287,75,4.68,1343,2017
Texas,120,66,7920,2297,2.11,16711,2017
Utah,27,31,837,67,2.06,1724,2017
Vermont,7,45,315,120,4.17,1314,2017
Virginia,5,35,175,39,5.73,1003,2017
Washington,77,45,3465,1594,2.25,7796,2017
West Virginia,6,40,240,50,3.85,924,2017
Wisconsin,53,56,2968,683,2.77,8221,2017
Wyoming,39,53,2067,186,1.59,3287,2017
Other,34,43,1473,184,4.11,6054,2017
United States,2669,55.3,147638,30577,2.156,318308,2017
Alabama,6,45,270,14,3.57,964,2018
Arizona,24,38,912,109,2.82,2572,2018
Arkansas,28,50,1400,84,1.87,2618,2018
California,335,41,13735,3022,2.06,28294,2018
Colorado,31,48,1488,283,2.02,3006,2018
Florida,215,49,10535,737,2.4,25284,2018
Georgia,98,34,3332,200,2.79,9296,2018
Hawaii,17,103,1751,18,1.83,3204,2018
Idaho,96,31,2976,655,1.96,5833,2018
Illinois,11,41,451,108,5.01,2260,2018
Indiana,7,46,322,106,3.75,1208,2018
Iowa,38,49,1862,1005,2.35,4376,2018
Kansas,5,73,365,95,3,1095,2018
Kentucky,4,41,164,34,5.42,889,2018
Louisiana,45,83,3735,261,1.9,7097,2018
Maine,12,32,384,92,2.68,1029,2018
Michigan,92,44,4048,729,2.37,9594,2018
Minnesota,119,61,7259,1161,1.88,13647,2018
Mississippi,20,87,1740,70,2.05,3567,2018
Missouri,9,45,405,36,2.58,1045,2018
Montana,160,92,14720,3680,1.92,28262,2018
Nebraska,40,59,2360,850,1.99,4696,2018
New Jersey,13,31,403,165,7.35,2962,2018
New York,56,48,2688,833,3.34,8978,2018
North Carolina,10,33,330,63,5.55,1832,2018
North Dakota,530,72,38160,4579,1.88,71741,2018
Ohio,14,73,1022,491,3.61,3689,2018
Oregon,93,35,3255,1009,2.22,7226,2018
Pennsylvania,19,44,836,309,3.73,3118,2018
South Carolina,16,48,768,15,3.04,2335,2018
South Dakota,255,47,11985,5154,1.98,23730,2018
Tennessee,7,46,322,84,3.99,1285,2018
Texas,132,56,7392,1035,2.06,15228,2018
Utah,26,41,1066,75,2.09,2228,2018
Vermont,7,48,336,94,3.66,1230,2018
Virginia,4,40,160,35,6.83,1093,2018
Washington,77,43,3311,563,2.11,6986,2018
West Virginia,6,37,222,38,4.16,924,2018
Wisconsin,51,45,2295,711,2.76,6334,2018
Wyoming,39,56,2184,175,1.89,4128,2018
